ID,Category
00000,0
00001,0
00002,0
00003,0
00004,0
00005,0
00006,0
00007,0
00008,0
00009,0
00010,0
00011,0
00012,0
00013,0
00014,0
00015,0
00016,0
00017,0
00018,0
00019,0
00020,0
00021,0
00022,0
00023,0
00024,0
00025,0
00026,0
00027,0
00028,0
00029,0
00030,0
00031,0
00032,0
00033,0
00034,0
00035,0
00036,0
00037,0
00038,0
00039,0
00040,0
00041,0
00042,0
00043,0
00044,0
00045,0
00046,0
00047,0
00048,0
00049,0
00050,0
00051,0
00052,0
00053,0
00054,0
00055,0
00056,0
00057,0
00058,0
00059,0
00060,0
00061,0
00062,0
00063,0
00064,0
00065,0
00066,0
00067,0
00068,0
00069,0
00070,0
00071,0
00072,0
00073,0
00074,0
00075,0
00076,0
00077,0
00078,0
00079,0
00080,0
00081,0
00082,0
00083,0
00084,0
00085,0
00086,0
00087,0
00088,0
00089,0
00090,0
00091,0
00092,0
00093,0
00094,0
00095,0
00096,0
00097,0
00098,0
00099,0
00100,1
00101,1
00102,1
00103,1
00104,1
00105,1
00106,1
00107,1
00108,1
00109,1
00110,1
00111,1
00112,1
00113,1
00114,1
00115,1
00116,1
00117,1
00118,1
00119,1
00120,1
00121,1
00122,1
00123,1
00124,1
00125,1
00126,1
00127,1
00128,1
00129,1
00130,1
00131,1
00132,1
00133,1
00134,1
00135,1
00136,1
00137,1
00138,1
00139,1
00140,1
00141,1
00142,1
00143,1
00144,1
00145,1
00146,1
00147,1
00148,1
00149,1
00150,1
00151,1
00152,1
00153,1
00154,1
00155,1
00156,1
00157,1
00158,1
00159,1
00160,1
00161,1
00162,1
00163,1
00164,1
00165,1
00166,1
00167,1
00168,1
00169,1
00170,1
00171,1
00172,1
00173,1
00174,1
00175,1
00176,1
00177,1
00178,1
00179,1
00180,1
00181,1
00182,1
00183,1
00184,1
00185,1
00186,1
00187,1
00188,1
00189,1
00190,1
00191,1
00192,1
00193,1
00194,1
00195,1
00196,1
00197,1
00198,1
00199,1
00200,1
00201,1
00202,1
00203,1
00204,1
00205,1
00206,1
00207,1
00208,1
00209,1
00210,1
00211,1
00212,1
00213,1
00214,1
00215,1
00216,1
00217,1
00218,1
00219,1
00220,1
00221,1
00222,1
00223,1
00224,1
00225,1
00226,1
00227,1
00228,1
00229,1
00230,1
00231,1
